,flow,category,amount
0,Phenol,"('water', 'ocean')",7.288149956576013e-09
1,"Solids, inorganic","('water', 'ground-')",1.0635475881067995e-05
2,Prothioconazol,"('water', 'surface water')",3.921377572980119e-26
3,Azinphos-methyl,"('soil', 'agricultural')",0.0
4,Monochloroethane,"('water', 'surface water')",0.0
5,Thiobencarb,"('soil', 'agricultural')",5.377866070059268e-14
6,Elemental carbon,"('water', 'ground-')",2.2963689078666202e-10
7,m-Xylene,"('air', 'non-urban air or from high stacks')",1.084062533369288e-13
8,"Transformation, to dump site","('natural resource', 'land')",8.145842180462103e-07
9,Iodine-131,"('water', 'surface water')",5.369446450150744e-07
10,Dinitrogen tetroxide,"('air',)",7.329862319709006e-13
11,Hydrogen sulfide,"('air', 'low population density, long-term')",7.297861150129222e-10
12,Phosphorus,"('water', 'ground-')",6.263346722036723e-11
13,"Dibenz(a,h)anthracene","('air',)",1.2762397511580475e-14
14,"Benzene, ethyl-","('air',)",1.1346313776618313e-09
15,Radium-226,"('air',)",1.6135463785585922e-09
16,Cyanide,"('water',)",1.807547113778567e-09
17,Bromate,"('water', 'surface water')",4.00009706007693e-09
18,Carbon disulfide,"('air', 'urban air close to ground')",4.094002245782441e-13
19,Beryllium,"('water', 'ground-, long-term')",5.1926668261696896e-08
20,Barium,"('air',)",1.2270957784692214e-07
21,Radon-220,"('air', 'urban air close to ground')",9.349568685228251e-07
22,"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin","('air', 'non-urban air or from high stacks')",3.216854242512304e-15
23,Magnesium,"('water', 'ground-, long-term')",0.0002347877203980944
24,"Hydrocarbons, unspecified","('water', 'surface water')",9.382528445996699e-09
25,Beryllium,"('air', 'low population density, long-term')",1.1093042525514325e-11
26,Uranium-238,"('air', 'urban air close to ground')",1.3899118209039724e-07
27,Aluminium,"('water', 'ground-')",5.0214792126540664e-08
28,Hydrogen peroxide,"('water', 'surface water')",1.2527315979359423e-10
29,Acetamiprid,"('soil', 'agricultural')",0.0
30,Dinitrogen monoxide,"('air', 'non-urban air or from high stacks')",2.970169005905848e-07
31,Phosphorus,"('water', 'ocean')",1.3057688107589887e-09
32,Diquat,"('soil', 'agricultural')",8.150879943239543e-14
33,"Transformation, from dump site, residual material landfill","('natural resource', 'land')",1.2408925539189977e-07
34,Oxydemeton-methyl,"('soil', 'agricultural')",8.706938151842561e-16
35,Mecoprop-P,"('soil', 'agricultural')",3.959820148151565e-15
36,t-Butylamine,"('water', 'surface water')",6.646032485599713e-14
37,Copper,"('air', 'low population density, long-term')",8.253675692092317e-10
38,"Transformation, to pasture, man made, extensive","('natural resource', 'land')",9.436091769745331e-15
39,Chlorothalonil,"('soil', 'agricultural')",1.3052434287072776e-10
40,Butene,"('water', 'surface water')",5.052290277059413e-11
41,Trinexapac-ethyl,"('soil', 'agricultural')",4.234726809524208e-15
42,"Vanadium, ion","('water', 'surface water')",1.5896573811149085e-09
43,"Tin, 79% in cassiterite, 0.1% in crude ore, in ground","('natural resource', 'in ground')",1.968499267948825e-06
44,Boron,"('soil', 'industrial')",2.632462201711827e-09
45,Metolachlor,"('water', 'surface water')",8.523118574671875e-18
46,Water,"('water', 'ground-')",1.7206175288994146e-05
47,Bromine,"('water', 'ground-')",1.5653083006792312e-09
48,Titanium,"('air', 'low population density, long-term')",5.967885005548036e-09
49,Desmedipham,"('soil', 'agricultural')",1.1911463787685232e-16
50,"Methane, dichloro-, HCC-30","('air',)",2.2960658568593268e-10
51,"Lanthanum, 7.2% in bastnasite, 0.72% in crude ore, in ground","('natural resource', 'in ground')",1.8402523049361393e-14
52,Cesium-137,"('water', 'ocean')",1.2943922951693394e-05
53,"Nitrogen, organic bound","('water',)",9.958013580746152e-16
54,Xenon-137,"('air', 'non-urban air or from high stacks')",1.8701231491625876e-05
55,Radium-228,"('air', 'urban air close to ground')",6.722444162528608e-07
56,Carfentrazone-ethyl,"('air', 'non-urban air or from high stacks')",6.316622986982982e-15
57,Metsulfuron-methyl,"('soil', 'agricultural')",2.9384520321455325e-12
58,Thorium-230,"('water', 'surface water')",6.208574884147516e-05
